     MetID    Y  M  D      TAM      NNM      UUM      FFM       RR
    888011 2009  8 28      9.3      7.2     87.2      1.9      3.6
    888011 2009  8 29      6.7      7.1     85.8      2.5     15.0
    888011 2009  8 30      7.5      7.4     81.5      3.4     20.1
    888011 2009  8 31      7.6      7.9     88.6      2.3      4.7
    888011 2009  9  1     10.1      7.4     88.7      2.5     20.7
    888011 2009  9  2      7.3      7.3     87.8      1.6     63.2
    888011 2009  9  3      8.9      6.9     77.3      2.6      3.9
    888011 2009  9  4      9.9      7.5     80.4      1.7      0.7
    888011 2009  9  5      9.4      6.6     76.8      2.3      2.3
    888011 2009  9  6      7.0      6.7     84.2      1.5      0.8
    888011 2009  9  7      8.1      7.0     84.9      2.5      7.0
    888011 2009  9  8      9.0      7.9     83.7      3.1     12.6
    888011 2009  9  9      9.1      6.4     78.1      3.9     37.5
    888011 2009  9 10      8.2      6.2     83.6      1.6      6.8
    888011 2009  9 11      7.3      7.5     87.8      1.9      1.0
    888011 2009  9 12      7.6      7.1     82.6      3.0      8.0
    888011 2009  9 13      8.4      2.9     76.5      1.7      1.8
    888011 2009  9 14      7.0      0.6     79.3      1.2      0.1
    888011 2009  9 15      5.7      6.2     85.8      1.4      0.0
    888011 2009  9 16      6.7      6.6     79.0      3.0      2.1
    888011 2009  9 17      6.4      7.4     80.0      1.7      0.4
    888011 2009  9 18      7.2      5.8     81.1      1.2      0.1
    888011 2009  9 19      7.0      4.7     78.8      1.8      0.3
    888011 2009  9 20      7.3      6.7     82.7      2.1      9.7
    888011 2009  9 21      7.0      7.4     84.1      2.6      5.2
    888011 2009  9 22      8.7      7.3     81.5      4.3     19.2
    888011 2009  9 23      5.2      7.0     84.1      3.1     34.7
    888011 2009  9 24      5.3      6.9     85.2      2.6     50.7
    888011 2009  9 25      7.8      7.6     89.1      2.8     19.5
    888011 2009  9 26      8.5      7.4     85.7      2.8      7.8
    888011 2009  9 27      7.4      7.7     86.1      3.6      0.9
    888011 2009  9 28      3.2      6.0     79.7      3.6     74.3
    888011 2009  9 29      2.5      4.8     75.5      2.9     15.1
    888011 2009  9 30      0.9      7.1     86.3      1.9      1.1
    888011 2009 10  1      1.6      5.8     81.8      2.0     23.1
    888011 2009 10  2      1.0      4.4     80.2      1.3      0.1
    888011 2009 10  3      1.5      7.8     84.9      3.3      2.9
    888011 2009 10  4      3.0      7.5     82.3      3.6     29.3
    888011 2009 10  5      1.2      5.5     80.3      2.1      3.3
    888011 2009 10  6      0.9      7.8     86.6      3.0      2.8
    888011 2009 10  7      3.2      6.2     81.2      4.1     41.6
    888011 2009 10  8      1.2      7.2     84.8      2.3     18.1
    888011 2009 10  9     -0.2      4.5     75.7      1.5     10.8
    888011 2009 10 10     -0.3      4.8     73.2      2.2      0.3
    888011 2009 10 11      2.3      6.0     74.8      3.2      0.6
    888011 2009 10 12      0.2      1.7     75.5      1.9      0.6
    888011 2009 10 13     -2.5      0.8     72.7      1.8      0.1
    888011 2009 10 14     -2.5      2.1     71.0      1.8      0.0
    888011 2009 10 15      2.0      7.1     78.6      1.4      0.1
    888011 2009 10 16      3.5      3.5     68.6      3.0     12.5
    888011 2009 10 17     -1.1      2.7     81.6      1.5      0.4
    888011 2009 10 18     -1.4      6.7     82.7      1.3      0.1
    888011 2009 10 19      0.2      5.5     87.5      1.2      2.1
    888011 2009 10 20      0.3      6.4     81.1      1.7      0.5
    888011 2009 10 21      4.4      3.8     65.8      4.2      0.0
    888011 2009 10 22      3.2      2.7     64.5      4.5      0.3
    888011 2009 10 23      4.7      6.7     71.9      3.2      0.0
    888011 2009 10 24      4.2      6.2     64.0      3.8      0.3
    888011 2009 10 25      5.8      7.3     59.8      4.2      0.1
    888011 2009 10 26      1.8      4.8     81.2      1.5      0.4
    888011 2009 10 27     -1.3      3.4     86.4      1.4      0.0
    888011 2009 10 28     -0.6      6.4     79.0      2.4      0.3
    888011 2009 10 29      1.5      6.7     75.5      1.9      0.0
